 * Serving Flask app 'app'
 * Debug mode: on
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8000
 * Running on http://192.168.1.21:8000
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 705-537-984
127.0.0.1 - - [19/Dec/2025 11:48:44] "GET /api/health HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:49:02] "OPTIONS /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:49:02] "OPTIONS /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:49:02] "GET /api/auth/me HTTP/1.1" 422 -
127.0.0.1 - - [19/Dec/2025 11:49:02] "GET /api/auth/me HTTP/1.1" 422 -
127.0.0.1 - - [19/Dec/2025 11:49:46] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:49:48] "POST /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:49:48] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:49:48] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:49:48] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:49:48] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:49:48] "OPTIONS /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:49:49] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:49:49] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:49:49] "OPTIONS /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:49:49] "OPTIONS /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:49:50] "GET /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:49:51] "GET /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:51:29] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:51:29] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [19/Dec/2025 11:51:43] "OPTIONS /api/auth/register HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:51:45] "POST /api/auth/register HTTP/1.1" 201 -
127.0.0.1 - - [19/Dec/2025 11:51:53] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:51:54] "POST /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:51:54] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:51:54] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:51:54] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:51:54] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:51:54] "OPTIONS /api/business HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:51:55] "POST /api/business HTTP/1.1" 201 -
127.0.0.1 - - [19/Dec/2025 11:51:55] "POST /api/business HTTP/1.1" 201 -
127.0.0.1 - - [19/Dec/2025 11:51:55] "OPTIONS /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:51:55] "OPTIONS /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:51:55] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:51:55] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:51:55] "OPTIONS /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:51:55] "OPTIONS /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:51:56] "GET /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:51:56] "GET /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:52:15] "OPTIONS /api/generate HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:52:32] "POST /api/generate HTTP/1.1" 201 -
127.0.0.1 - - [19/Dec/2025 11:52:32] "OPTIONS /api/generate-image HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:52:33] "POST /api/generate-image HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:54:12] "OPTIONS /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:54:12] "OPTIONS /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:54:12] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:54:12] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:54:12] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:54:13] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:54:13] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:54:13] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:54:13] "OPTIONS /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:54:13] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:54:13] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:54:14] "OPTIONS /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:54:14] "OPTIONS /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:54:15] "GET /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:54:15] "GET /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:43] "OPTIONS /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:43] "OPTIONS /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:43] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:43] "GET /api/auth/me HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:43] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:43] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:43] "OPTIONS /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:43] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:44] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:44] "OPTIONS /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:44] "GET /api/businesses HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:44] "OPTIONS /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:44] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:44] "GET /api/content HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:44] "OPTIONS /api/trends HTTP/1.1" 200 -
127.0.0.1 - - [19/Dec/2025 11:57:44] "OPTIONS /api/trends HTTP/1.1" 200 -
